Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,Gen,446.006250,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
2,Net,446.018750,,0.000000,TSQL,88.5,159.8,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
3,Vid,446.031250,,0.000000,TSQL,88.5,127.3,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
4,Lgstc,446.043750,,0.000000,TSQL,88.5,167.9,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
5,Fire,446.056250,,0.000000,TSQL,88.5,203.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
11,Gen (D),446.118750,,0.000000,DTCS,88.5,88.5,315,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
12,Net (D),446.131250,,0.000000,DTCS,88.5,88.5,325,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
13,Vid(D),446.143750,,0.000000,DTCS,88.5,88.5,331,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
14,Lgstc(D),446.156250,,0.000000,DTCS,88.5,88.5,332,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
15,Fire(D),446.168750,,0.000000,DTCS,88.5,88.5,343,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
